No strat,SimplerComplexValue,Ties
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
4,2,0
4,3,0
5,3,0
6,3,0
7,3,0
7,4,0
7,5,0
7,6,0
8,6,0
9,6,0
9,7,0
10,7,0
11,7,0
12,7,0
13,7,0
13,8,0
13,9,0
13,10,0
13,11,0
14,11,0
15,11,0
16,11,0
16,12,0
17,12,0
18,12,0
18,13,0
19,13,0
20,13,0
20,14,0
21,14,0
22,14,0
23,14,0
24,14,0
25,14,0
25,15,0
26,15,0
26,16,0
26,17,0
27,17,0
28,17,0
29,17,0
29,18,0
29,19,0
29,20,0
30,20,0
31,20,0
32,20,0
32,21,0
33,21,0
34,21,0
34,22,0
35,22,0
36,22,0
36,23,0
36,24,0
36,25,0
37,25,0
37,26,0
37,27,0
38,27,0
38,28,0
38,29,0
38,30,0
38,31,0
39,31,0
39,32,0
39,33,0
40,33,0
40,34,0
41,34,0
41,35,0
42,35,0
42,36,0
43,36,0
44,36,0
45,36,0
45,37,0
45,38,0
46,38,0
47,38,0
47,39,0
47,40,0
47,41,0
47,42,0
47,43,0
47,44,0
48,44,0
48,45,0
48,46,0
49,46,0
49,47,0
49,48,0
49,49,0
50,49,0
51,49,0
52,49,0
52,50,0
52,51,0
52,52,0
52,53,0
52,54,0
52,55,0
53,55,0
54,55,0
55,55,0
55,56,0
56,56,0
57,56,0
57,57,0
57,58,0
57,59,0
58,59,0
59,59,0
59,60,0
60,60,0
61,60,0
61,61,0
62,61,0
62,62,0
62,63,0
63,63,0
64,63,0
64,64,0
65,64,0
66,64,0
67,64,0
67,65,0
67,66,0
67,67,0
67,68,0
67,69,0
68,69,0
69,69,0
70,69,0
70,70,0
70,71,0
70,72,0
71,72,0
71,73,0
71,74,0
72,74,0
73,74,0
73,75,0
73,76,0
73,77,0
73,78,0
74,78,0
75,78,0
76,78,0
76,79,0
77,79,0
78,79,0
79,79,0
80,79,0
80,80,0
80,81,0
81,81,0
82,81,0
82,82,0
82,83,0
82,84,0
82,85,0
83,85,0
83,86,0
83,87,0
84,87,0
85,87,0
86,87,0
86,88,0
87,88,0
88,88,0
89,88,0
89,89,0
89,90,0
89,91,0
89,92,0
90,92,0
91,92,0
91,93,0
91,94,0
92,94,0
93,94,0
93,95,0
93,96,0
93,97,0
93,98,0
93,99,0
93,100,0
94,100,0
95,100,0
96,100,0
96,101,0
96,102,0
97,102,0
98,102,0
99,102,0
99,103,0
100,103,0
100,104,0
101,104,0
101,105,0
101,106,0
